timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2017-08-01,4261.48,4745.42,3400.0,4724.89,10015.640272,2017-08-31 23:59:59.999,42538297.66482722,69180,4610.019431,19419232.11660334,0.0
2017-09-01,4689.89,4939.19,2817.0,4378.51,27634.18912,2017-09-30 23:59:59.999,110493081.58501816,228745,12353.170043,49199923.91602857,0.0
2017-10-01,4378.49,6498.01,4110.0,6463.0,41626.388463,2017-10-31 23:59:59.999,228736757.83148792,303389,19231.858853,105340098.61188824,0.0
2017-11-01,6463.0,11300.03,5325.01,9838.96,108487.978119,2017-11-30 23:59:59.999,892748838.3973899,577424,55476.983538,464487575.8998088,0.0
2017-12-01,9837.0,19798.68,9380.0,13716.36,408476.658399,2017-12-31 23:59:59.999,5975573892.335594,3082883,213940.587099,3122653751.3487988,0.0
2018-01-01,13715.65,17176.24,9035.0,10285.1,816675.564467,2018-01-31 23:59:59.999,9979686765.57534,7214977,405900.525084,4998781571.24693,0.0
2018-02-01,10285.1,11786.01,6000.01,10326.76,1243940.85531,2018-02-28 23:59:59.999,11576600898.496582,11684784,605296.665626,5637272324.135996,0.0
2018-03-01,10325.64,11710.0,6600.1,6923.91,1235326.31402,2018-03-31 23:59:59.999,10789435243.860197,9237002,600809.010645,5248981630.130889,0.0
2018-04-01,6922.0,9759.82,6430.0,9246.01,1110964.015581,2018-04-30 23:59:59.999,8963408127.53917,7421056,562990.666953,4545945701.676253,0.0
2018-05-01,9246.01,10020.0,7032.95,7485.01,914476.377885,2018-05-31 23:59:59.999,7717053810.960644,7433740,465963.946341,3927577118.133629,0.0
2018-06-01,7485.01,7786.69,5750.0,6390.07,942249.765944,2018-06-30 23:59:59.999,6334765066.668446,6911213,511693.580655,3444934498.1056666,0.0
2018-07-01,6391.08,8491.77,6070.0,7730.93,1102510.436786,2018-07-31 23:59:59.999,7956324970.008916,6137961,590311.682161,4258637350.565962,0.0
2018-08-01,7735.67,7750.0,5880.0,7011.21,1408159.816556,2018-08-31 23:59:59.999,9361010282.352654,6947401,757462.270359,5036496276.224335,0.0
2018-09-01,7011.21,7410.0,6111.0,6626.57,1100653.423315,2018-09-30 23:59:59.999,7274119992.680284,5764608,597396.269165,3949166119.0301757,0.0
2018-10-01,6626.57,7680.0,6205.0,6371.93,629922.086219,2018-10-31 23:59:59.999,4151246611.5536914,3852914,324179.636991,2136571667.2648249,0.0
2018-11-01,6369.52,6615.15,3652.66,4041.32,1210366.564567,2018-11-30 23:59:59.999,5762104292.969666,6810329,616104.67054,2927681316.7787304,0.0
2018-12-01,4041.27,4312.99,3156.26,3702.9,1591229.611862,2018-12-31 23:59:59.999,5893039910.760216,7933980,809310.7712,2995966430.439426,0.0
2019-01-01,3701.23,4069.8,3349.92,3434.1,908244.14054,2019-01-31 23:59:59.999,3320676978.282867,6315903,471134.137498,1722159891.3014305,0.0
2019-02-01,3434.1,4198.0,3373.1,3813.69,861783.986727,2019-02-28 23:59:59.999,3202849295.152803,5866928,452235.785562,1681041785.0133934,0.0
2019-03-01,3814.26,4140.0,3670.69,4103.95,787190.48925,2019-03-31 23:59:59.999,3091934416.096792,5549651,416484.156595,1636152913.8097374,0.0
2019-04-01,4102.44,5600.0,4067.0,5320.81,1126961.315101,2019-04-30 23:59:59.999,5743659745.683714,7878682,575775.326797,2933079322.3586507,0.0
2019-05-01,5321.94,9074.26,5316.2,8555.0,1498410.025617,2019-05-31 23:59:59.999,11148664963.531687,12978067,778598.220628,5791322850.876026,0.0
2019-06-01,8555.0,13970.0,7444.58,10854.1,1689489.647326,2019-06-30 23:59:59.999,17039339677.99758,15717591,869210.722548,8732583691.028864,0.0
2019-07-01,10854.1,13147.08,9060.0,10080.53,1886176.065915,2019-07-31 23:59:59.999,20321356634.297855,17005268,955194.468837,10278506136.645895,0.0
2019-08-01,10080.53,12330.7,9320.0,9587.47,1201961.576316,2019-08-31 23:59:59.999,12906016545.404419,11862163,607197.730488,6523990464.572799,0.0
2019-09-01,9588.74,10905.87,7710.0,8289.34,1116856.475836,2019-09-30 23:59:59.999,10708237140.603718,10290100,560469.13385,5377015249.31717,0.0
2019-10-01,8289.97,10370.0,7300.0,9140.85,1446763.024045,2019-10-31 23:59:59.999,12389911486.343376,14098403,733947.670057,6285965694.637506,0.0
